iter	Passed	Remaining
555	132114	105501
556	132306	105227
557	132369	104852
558	132518	104545
559	132586	104175
560	132744	103876
561	132860	103546
562	132964	103206
563	133043	102849
564	133218	102566
565	133338	102241
566	133502	101951
567	133683	101674
568	133847	101385
569	133956	101054
570	134080	100736
571	134149	100377
572	134219	100020
573	134335	99698
574	134418	99353
575	134571	99059
576	134659	98718
577	134757	98387
578	134818	98028
579	134883	97674
580	135032	97381
581	135171	97081
582	135242	96734
583	135295	96374
584	135431	96075
585	135662	95843
586	135874	95598
587	136169	95411
588	136411	95187
589	136864	95109
590	137173	94930
591	137408	94700
592	137706	94513
593	138011	94331
594	138603	94343
595	139066	94266
596	139297	94031
597	139558	93816
598	139804	93592
599	139971	93314
600	140190	93071
601	140412	92830
602	140707	92638
603	141167	92553
604	141416	92329
605	141731	92148
606	141856	91844
607	142191	91676
608	142439	91451
609	142721	91248
610	143156	91142
611	143440	90939
612	143815	90794
613	144093	90586
614	144475	90443
615	144753	90236
616	145225	90148
617	145758	90096
618	146366	90089
619	146753	89945
620	147050	89745
621	147224	89470
622	147529	89275
623	147768	89040
624	148048	88829
625	148414	88669
626	148681	88450
627	149113	88328
628	149374	88104
629	149655	87892
630	149934	87679
631	150278	87504
632	150567	87295
633	150819	87066
634	151097	86851
635	151333	86612
636	151707	86451
637	152016	86254
638	152308	86046
639	152797	85948
640	153065	85726
641	153308	85489
642	153674	85321
643	153939	85097
644	154175	84856
645	154440	84631
646	154898	84512
647	155157	84283
648	155454	84074
649	155698	83837
650	155957	83608
651	156317	83433
652	156623	83228
653	157043	83084
654	157484	82949
655	157687	82689
656	157951	82461
657	158169	82209
658	158559	82046
659	158921	81868
660	159251	81673
661	159754	81566
662	160025	81340
663	160147	81038
664	160512	80859
665	160733	80608
666	161009	80384
667	161423	80228
668	161932	80119
669	162294	79936
670	162576	79713
671	162772	79448
672	162930	79165
673	163253	78962
674	163504	78724
675	164030	78618
676	164286	78382
677	164373	78065
678	164549	77791
679	164729	77519
680	164788	77191
681	164931	76903
682	165028	76594
683	165062	76256
684	165227	75980
685	165382	75700
686	165475	75391
687	165647	75119
688	165832	74853
689	165914	74541
690	166070	74262
691	166249	73995
692	166359	73697
693	166522	73423
694	166682	73148
695	166794	72852
696	166938	72571
697	167153	72321
698	167217	72006
699	167303	71701
700	167448	71422
701	167511	71108
702	167603	70808
703	167694	70507
704	167876	70246
705	168045	69979
706	168228	69718
707	168359	69436
708	168582	69192
709	168742	68922
710	168918	68660
711	169038	68375
712	169312	68152
713	169488	67890
714	169693	67640
715	169902	67391
716	170119	67146
717	170409	66929
718	170682	66706
719	170805	66424
720	171136	66223
721	171573	66062
722	172099	65935
723	172419	65728
724	172706	65509
725	173066	65317
726	173330	65088
727	173699	64898
728	174193	64754
729	174528	64551
730	174831	64336
731	175251	64162
732	175574	63954
733	176008	63785
734	176430	63610
735	176806	63419
736	177099	63198
737	177304	62945
738	177601	62725
739	178037	62553
740	178272	62311
741	178582	62094
742	178885	61875
743	179115	61631
744	179372	61396
745	179607	61153
746	180020	60970
747	180380	60770
748	180711	60558
749	180955	60318
750	181168	60067
751	181464	59844
752	181975	59691
753	182638	59587
754	183146	59431
755	183385	59187
756	183596	58935
757	183983	58738
758	184256	58505
759	184474	58255
760	184812	58042
761	185061	57801
762	185157	57512
763	185310	57242
764	185418	56958
765	185515	56671
766	185646	56395
767	185777	56120
768	185913	55846
769	186134	55598
770	186236	55315
771	186428	55059
772	186487	54764
773	186632	54494
774	186675	54196
775	186842	53933
776	186899	53640
777	187042	53371
778	187125	53086
779	187277	52821
780	187357	52536
781	187490	52267
782	187604	51992
783	187739	51724
784	187916	51467
785	187987	51182
786	188183	50931
787	188272	50652
788	188411	50386
789	188625	50140
790	188743	49870
791	188929	49617
792	189170	49380
793	189308	49115
794	189397	48838
795	189714	48620
796	189965	48385
797	190222	48151
798	190466	47914
799	190846	47711
800	190991	47449
801	191257	47218
802	191425	46962
803	191797	46756
804	192366	46598
805	192633	46365
806	192876	46127
807	193157	45898
808	193473	45677
809	193577	45407
810	193909	45189
811	194359	44999
812	194861	44820
813	195212	44606
814	195499	44377
815	195730	44135
816	196054	43914
817	196188	43650
818	196472	43420
819	196699	43178
820	197038	42959
821	197481	42763
822	197658	42509
823	197907	42271
824	198207	42044
825	198452	41804
826	198612	41547
827	198812	41299
828	199039	41056
829	199480	40857
830	199578	40588
831	199923	40369
832	200167	40129
833	200446	39897
834	200661	39651
835	200868	39404
836	201020	39147
837	201213	38898
838	201458	38658
839	201967	38470
840	202331	38252
841	202724	38040
842	203050	37816
843	203470	37608
844	203840	37390
845	204330	37194
846	204658	36968
847	205002	36745
848	205270	36508
849	205491	36263
850	205735	36021
851	206157	35811
852	206434	35575
853	206789	35352
854	207018	35108
855	207281	34869
856	207514	34626
857	207659	34367
858	207942	34132
859	208578	33954
860	208799	33708
861	208997	33459
862	209231	33215
863	209465	32971
864	209759	32737
865	210111	32511
866	210506	32292
867	210947	32079
868	211461	31877
869	211832	31653
870	212127	31417
871	212448	31185
872	212845	30963
873	213281	30747
874	213733	30533
875	213954	30285
876	214166	30037
877	214354	29785
878	214527	29531
879	214655	29271
880	214915	29029
881	215234	28795
882	215491	28553
883	215923	28333
884	216365	28115
885	216799	27895
886	217069	27653
887	217204	27395
888	217554	27163
889	217939	26936
890	218046	26674
891	218369	26439
892	218639	26197
893	218846	25948
894	218937	25685
895	219290	25453
896	219587	25214
897	219882	24975
898	220179	24736
899	220622	24513
900	221107	24294
901	221513	24066
902	221865	23832
903	222198	23596
904	222494	23355
905	222894	23125
906	223284	22894
907	223523	22647
908	223929	22417
909	224164	22170
910	224299	21912
911	224378	21650
912	224444	21387
913	224496	21123
914	224567	20861
915	224644	20600
916	224723	20340
917	224789	20079
918	224843	19817
919	224923	19558
920	224975	19297
921	225054	19039
922	225108	18779
923	225181	18521
924	225244	18263
925	225282	18003
926	225369	17747
927	225430	17490
928	225485	17232
929	225561	16977
930	225649	16723
931	225713	16468
932	225768	16212
933	225836	15958
934	225887	15703
935	225960	15450
936	226022	15196
937	226095	14944
938	226167	14692
939	226269	14442
940	226364	14192
941	226421	13940
942	226491	13690
